DateRep	WT	Alpha	Delta	BA1	BA2	BA5	BQ1__BA2_75	XBB_	BA2_86	KP3
2022-11-14	0	0	0	0.00175246037925564	0.00772805047514458	0.748857532543782	0.219014017507724	0.017593173597023	0	0
2022-11-15	0	0	0	0.0017403958528291	0.00770492330986461	0.741250644218321	0.225851009973174	0.017812043258424	0	0
2022-11-16	0	0	0	0.0017284895741111	0.00768343317648586	0.733591531303571	0.232832302437471	0.0180308390145523	0	0
2022-11-17	0	0	0	0.00171674457247336	0.00766352626184528	0.725889757755285	0.239958010632293	0.0182500022527159	0	0
2022-11-18	0	0	0	0.00170516377329343	0.0076451501575761	0.718155116645024	0.24722808093381	0.0184699976691154	0	0
2022-11-19	0	0	0	0.00169375000212479	0.00762825376690923	0.710397591141598	0.254642014528493	0.0186913134181235	0	0
2022-11-20	0	0	0	0.00168250598890042	0.00761278721564606	0.702627314633528	0.262195941447299	0.0189144613827835	0	0
2022-11-21	0	0	0	0.00167143437216639	0.00759870176709635	0.694854530399171	0.269883461491721	0.0191399775771716	0	0
2022-11-22	0	0	0	0.00166053770334264	0.00758594974078887	0.687089551233394	0.277697540223632	0.019368422691473	0	0
2022-11-23	0	0	0	0.00164981845100794	0.0075744844347768	0.679342719435106	0.285630553588872	0.019600382790927	0	0
2022-11-24	0	0	0	0.0016392790052069	0.00756426005137362	0.671624367548872	0.293674304625822	0.0198364701802073	0	0
2022-11-25	0	0	0	0.00162892168177666	0.00755523162616682	0.663944780236552	0.301820044970489	0.0200773244453325	0	0
2022-11-26	0	0	0	0.00161874872669152	0.00754735496016919	0.656314157631984	0.3100585010721	0.0203236136858592	0	0
2022-11-27	0	0	0	0.00160876232042401	0.00754058655497855	0.648742580503762	0.318379904959389	0.0205760359509101	0	0
