anteil_positiv_tests,region,DatumDesMittwochs,Alter,typ,logit_anteil_positiv_tests,dunkelziffer_aus_posrate_logit
0.0408214025368129,Bremen,2020-10-07,35-59,alterspezifisch,-3.15687077471006,0.839682714791279
0.0157188731572033,Hamburg,2020-10-07,35-59,alterspezifisch,-4.13704945193929,0.654278795543063
0.0355965389850282,Hesse,2020-10-07,35-59,alterspezifisch,-3.29926132146577,0.812749089274111
0.00629030373831776,Mecklenburg Western Pomerania,2020-10-07,35-59,alterspezifisch,-5.06243574929793,0.479239029493589
0.0178129895402578,Lower Saxony,2020-10-07,35-59,alterspezifisch,-4.00985378796037,0.67833826057829
0.022,Northrhine-Westphalia,2020-10-07,35-59,alterspezifisch,-3.7944672166765,0.719079316670581
0.0272314724761719,Rhineland Palatinate,2020-10-07,35-59,alterspezifisch,-3.57577277749047,0.760446066514088
0.00419394411449713,Saarland,2020-10-07,35-59,alterspezifisch,-5.46991090833412,0.40216380511189
0.0387317618469016,Saxony,2020-10-07,35-59,alterspezifisch,-3.21159351102332,0.829331734893263
0.0094340779675865,Saxony-Anhalt,2020-10-07,35-59,alterspezifisch,-4.65394796886318,0.556505794438625
0.0115294174899022,Schleswig Holstein,2020-10-07,35-59,alterspezifisch,-4.45125707069376,0.594845423518073
0.0188598949211909,Thuringia,2020-10-07,35-59,alterspezifisch,-3.95167756232772,0.689342478982481
0.0199066984482171,Baden-Württemberg,2020-10-07,60-79,alterspezifisch,-3.89659149226834,0.699762184616011
0.0117527582017011,Bavaria,2020-10-07,60-79,alterspezifisch,-4.43184495756378,0.598517286555699
0.0289833958221746,Berlin,2020-10-07,60-79,alterspezifisch,-3.51162046006869,0.77258068171759
0.0180934779436798,Brandenburg,2020-10-07,60-79,alterspezifisch,-3.99394457370246,0.681347539135454
0.0353476099985382,Bremen,2020-10-07,60-79,alterspezifisch,-3.30653703843248,0.811372864232385
0.0135635117398279,Hamburg,2020-10-07,60-79,alterspezifisch,-4.28671571566171,0.625968944984169
0.030800857156772,Hesse,2020-10-07,60-79,alterspezifisch,-3.44892758518819,0.784439238715217
